"Cites","Authors","Title","Year","Source","ArticleURL","Publisher","Type","DOI","AuthorCount","Age"
206,"Huai-zhi Wang, Gang-qiang Li, Gui-bin Wang, Jian-chun Peng, Hui Jiang, Yi-tao Liu","deep learning based ensemble approach for probabilistic wind power forecasting",2017,"applied energy",,"elsevier sci ltd","Article","10.1016/j.apenergy.2016.11.111",6,3
153,"Qinghua Hu, Rujia Zhang, Yucan Zhou","transfer learning for short-term wind speed prediction with deep neural networks",2016,"renewable energy",,"pergamon-elsevier science ltd","Article","10.1016/j.renene.2015.06.034",3,4
100,"Chu Zhang, Jianzhong Zhou, Chaoshun Li, Wenlong Fu, Tian Peng","a compound structure of elm based on feature selection and parameter optimization using hybrid backtracking search algorithm for wind speed forecasting",2017,"energy conversion and management","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85017562291&origin=inward","pergamon-elsevier science ltd","Article","10.1016/j.enconman.2017.04.007",5,3
85,"Jianzhou Wang, Jianming Hu","a robust combination approach for short-term wind speed forecasting and analysis - combination of the arima (autoregressive integrated moving average), elm (extreme learning machine), svm (support vector machine) and lssvm (least square svm) forecasts using a gpr (gaussian process regression) model",2015,"energy","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84949681323&origin=inward","pergamon-elsevier science ltd","Article","10.1016/j.energy.2015.08.045",2,5
117,"Cong Feng, Mingjian Cui, Bri-Mathias Hodge, Jie Zhang","a data-driven multi-model methodology with deep feature selection for short-term wind forecasting",2017,"applied energy","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85010203049&origin=inward","elsevier sci ltd","Article","10.1016/j.apenergy.2017.01.043",4,3
86,"Hui Liu, Hong-qi Tian, Yan-fei Li","four wind speed multi-step forecasting models using extreme learning machines and signal decomposing algorithms",2015,"energy conversion and management","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84929146225&origin=inward","pergamon-elsevier science ltd","Article","10.1016/j.enconman.2015.04.057",3,5
66,"Jian-Zhou Wang, Yun Wang, Ping Jiang","the study and application of a novel hybrid forecasting model - a case study of wind speed forecasting in china",2015,"applied energy",,"elsevier sci ltd","Article","10.1016/j.apenergy.2015.01.038",3,5
68,"Yachao Zhang, Kaipei Liu, Liang Qin, Xueli An","deterministic and probabilistic interval prediction for short-term wind power generation based on variational mode decomposition and machine learning methods",2016,"energy conversion and management","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84955259754&origin=inward","pergamon-elsevier science ltd","Article","10.1016/j.enconman.2016.01.023",4,4
76,"Ali Akbar Abdoos","a new intelligent method based on combination of vmd and elm for short term wind power forecasting",2016,"neurocomputing","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84971472399&origin=inward","elsevier","Article","10.1016/j.neucom.2016.03.054",1,4
69,"Wei Sun, Mohan Liu","wind speed forecasting using feemd echo state networks with relm in hebei, china",2016,"energy conversion and management","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84958759376&origin=inward","pergamon-elsevier science ltd","Article","10.1016/j.enconman.2016.02.022",2,4
56,"Hui Liu, Xiwei Mi, Yanfei Li","smart multi-step deep learning model for wind speed forecasting based on variational mode decomposition, singular spectrum analysis, lstm network and elm",2018,"energy conversion and management","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85042506919&origin=inward","pergamon-elsevier science ltd","Article","10.1016/j.enconman.2018.01.010",3,2
